Address,Stake (Luna),Points
NQ02 3EUB DPNS LQNC 7E5J 5SAU G4F7 JJBX P1JM,50000000000,3750
NQ02 539T H628 CEYX HV5D J9QU QHT0 5E50 9MCK,209218764,2
NQ02 55GD RF4H FLNK J83U C49K JKG3 GUFY C73G,215063015950,12900
NQ02 D0QY H03Y F77U NYG1 E53U YS9R FGNK FLJM,20000000000,1200
NQ02 DTKS 7D0R UFPS Q8BA A4DL 64ME P0H8 J81U,170591838153,15345
NQ02 GBK2 LXY7 8MK5 7QG7 PJNG 8XNC M25T Q561,4365000000,387
NQ02 L0Q4 NBB4 EQA2 TEKS HHH5 AT56 106N 1071,2018388306,160
NQ02 L4MD 7UGJ 9J7J 55N5 2T9N X4V9 QFAA 19L7,66307474483,5304
NQ02 LCJK VBPN APMF UPPG 7PG8 7U87 VNXG 2JLE,21857184677,872
NQ02 LP44 9GK1 0XJ0 2ET8 VYE9 QN9X Q2QJ XN06,765269203653,30604
NQ02 RR0R 5DLT AXGN 2EX1 D9M1 47JD PL02 R02P,2588930017730,90000
NQ02 S2PC T754 8UCF KKDL 2U9S YH2K XKGP 43A7,100000000000,9000
NQ02 SX0L B728 RRDB XPXN 2TYF RGEF KX2N SLFC,2682743930,208
NQ02 TLGG HTEM 7REU BYSD 10D2 PNPB 515R U14Q,1000000000000,75000
NQ02 VAXS M9AM YR3R A4J4 DRNF 2Q9G 9G0J P7CC,383881505,27
NQ03 12E4 C5GC HD71 VAJ6 X12U 528J EXHB TCBC,400000000000,21000
NQ03 6CNR Y05F KQRN 48K9 BFFA GAXP TX0E 95GL,2118989526,82
NQ03 6F9T CM3Y FR6H CECE T7LH E7A5 AFDC N742,200550004588,15037.5
NQ03 6XLS LR57 VYGK X30B G70D TFSC LEBH 5NP6,3410022468,247.5
NQ03 9KQ8 S2GF HL3G SUPN 5UM0 1438 28HL CN50,108922600000,15100
NQ03 9SNE JBSS 690C BYBL 689D 1CE1 HLJS 75MF,10010506721,882
NQ03 FV45 JK9M HUBS L71B AA8F 667P DDRJ FX2N,10099797365,800
NQ03 H4J6 CJK2 231T FVC0 TVFK J1U8 B64M 3BQ2,7776171100000,40000
NQ03 L46U HG5D QTES NSF4 B18Y ADN1 EDSN 8ULS,6204700000,496
NQ03 PG9B HLCF 486X A5M6 D3UU QRKY A4AN VD91,25909420572,1036
NQ03 PQYV 9KSX EYC3 4YYC CEFY A76F X4V9 BUV4,122814800000,11052
NQ03 RBPX GKCH 9R9G CMCM J4XD M5T6 1RBF 0M2F,34179341398,2046
NQ03 RNGT PHU8 1BEB TPH1 UKG3 A29L S3V4 AGUM,14299998239,568
NQ03 TSXN 7GD0 6SV4 8DYG G50A BCAF U858 TPE9,1000000000,90
NQ03 UDY2 AXSG 7LFD 42JT XYN7 CKJM S61G 0D7K,38083439700,3420
NQ04 0TCS 3RVG 385U CCQ6 H348 PXNG 9M23 8LCY,38841702702,4247.5
NQ04 24L7 SYD7 SBHV TFMF 8MKL ANTN KJTL VV94,15813620178,948
NQ04 6AA6 Q197 X26S 0E4T D6CS 5R0T Y7S5 V23S,220862249003,19872
NQ04 71KB FA6V MS03 V9CA JR29 D7M8 AUTM ESDR,24939789582,249
NQ04 A5BT 1M8M C3VK 6JNA BU8R 5GUC 1UAG VHQ0,100012100000,9000
NQ04 AFY3 9M06 LNMH FGC8 FJY6 BDVN G2CP JTS1,10000000000,800
NQ04 F3P4 9TP6 D8L2 LJB2 RAHM VR0D VYBK X56E,9803130472,882
NQ04 H4ST 13XG DJ5K ULNS 4AXV P6L8 YH8Y JJRT,2550163025,150
NQ04 J28P L25A AUHX 90ET 57F5 RNQS XM3P QCXR,299999990074,11996
NQ04 KF13 1PTR 9QXM 4N5U MPCS J1BB 99KJ 1A04,1377115240,58
NQ04 MU81 U05M BUYC G704 6G7X Y2NH 6BHY 5XAV,66688800000,7992
NQ04 R03D 4H0B FM80 UR2J V9FX 4R10 JEJG B34C,8372700000,1162
NQ04 RJSD 00XB FXP4 V6K2 JQH0 YQXT YM9E 2UN7,3803382375,342
NQ04 YR8A VSBN C8CX DG49 RBN0 K93S YEK0 M46A,19000000,0
NQ05 00LY CL5E VXC5 A5H6 C9VA ATDJ 0FFL N8MC,34494460390,2064
NQ05 0U2X PRYB 0S19 41SN S0EE UAE2 YD28 B280,20000000000,800
NQ05 2HLY 2R03 7J4H LK31 UDYE 7DPX Y0LV BQM7,25154700000,1882.5
NQ05 C5HM 2SU8 VYM1 LFC3 QQA3 7YC7 0YC9 ARA1,360500000,24
NQ05 CSGG GDML 81F1 UR7V 2QD3 MYUD 7833 66LR,19783039230,1764
NQ05 FUTG C4AD SQ6M S76H S47S HHXK 9C6L PM26,70807360000,4248
NQ05 RXUV 140G 1S81 BPB3 A1LT VXUK 19RD VN1M,47007700000,3525
NQ06 2VD8 GUV2 6HXS VC7G L1U5 H97F H4R1 B6HN,120888018,0
NQ06 CXJB 5R73 AKYL C24D MC4A 6N6X 8PY8 NC32,5000000000,450
NQ06 GA2P AUY5 67G2 D59F UHVK 8Q7E 5F0R 27A2,584900000,20
NQ06 L2SG HFG3 F6C6 3DU9 9553 6A08 K5E4 5SPL,100010000000,4000
NQ06 QRU5 3AXM G7C0 ED7G CNEU JPD7 9D97 Y9PA,100027700000,7500
NQ06 SSN7 1C0M 5BR0 P3S9 LL2R CMKV 6HFQ 3SDY,165208200000,13216
NQ06 XQQH HDK7 AFXG HU4F 8JXH 6MSL 6LX8 A8U1,7552100000,477
NQ07 0B8J XMMF SC6Q EE5A B0JP 6SJJ 82JU 4RUU,326107863929,29349
NQ07 1EU8 PYB1 DGQF N6HG 1QFK ULD2 L7ME 0FJ6,12553306918,1125
NQ07 1F62 FS72 VY5B RG2L S1UU X167 948U YJQQ,267140393180,16026
NQ07 20XS HKJY MH2M E0H2 15PS JV7V U2MN UF5F,1563579280643,90000
NQ07 55RR FSY5 V2N2 F9BS P6KR XXEL 8HNG BEFP,12731349498,1116
NQ07 6JVT MS0D TYR8 DD5D VVNY A6BD 1DQD P0A6,102819696252,13364
NQ07 9TQB SG72 LX03 G9KM R2DF AVKH GYHV T4TN,2612504590,159
NQ07 CJ2F M0H0 V89D KPRY BPF5 YK70 U8XA KBLY,10000000000,900
NQ07 LBS1 G4NT J5EN DYEF Q3NQ UPCV KMMD G0JM,10100000000,757.5
NQ07 P8CF 0EF0 DDE3 RNE1 8PTC 7S4R GC3X 8YNS,451976962130,61962
NQ07 Y9HF 361R 0KT4 4CRH YCS3 TQVB 0J2M NLSY,953317934,108
NQ07 YCGX U1Q3 PKA0 BTM8 6RRX D8JK QL7E JYVA,20000000000,1800
NQ07 YXLA P4R0 SPDQ G7E0 34L3 AL6F 6PUY B6SH,99999999999,7492.5
NQ08 053V 9Y30 GF1K GXNL KGMU VVFG LFJJ JCQ1,999999000000,79992
NQ08 0BP4 1FQ6 6HC8 XTHA E6B8 TSTS 77PM 6U6D,5073300000,550
NQ08 2T19 X5HA TFY1 2UUY XLG1 BKP0 4CJ6 F00E,20045063825,1194
NQ08 69K6 QKHQ EHS6 CNTV UM0M HX66 CB27 EPU5,10100000000,909
NQ08 A3S9 2YF3 U555 PGPS 0EJX RXLY TEEH CXBR,51163974564,3066
NQ08 EANT VCJY 1PH7 1Y22 QPDT K6YB 0U6A HD4C,92535502158,10175
NQ08 GLT8 52M9 2JKV 7DS3 CLML 7GX8 37JM FHYL,377904303852,28342.5
NQ08 LCTG D15D EF1N XEGP CGU0 6X7V TQY1 3B58,545110000,47.5
NQ08 LP1D HYDX SXC4 86S1 4TEM 40KB 3DJV E3H7,1000000000000,90000
NQ08 MB9N EYYA GRVB FSPX LY55 X5J9 RCHJ SDTB,66123392406,5949
NQ08 P5E6 DCGC 2N9A KYAV GG31 EP5L EP01 LTTH,410355913999,36927
NQ08 PBHB J99H 593Q DJLG G0TQ XCHN 1DKJ SBM8,33653500000,2062.5
NQ08 QSRJ PE44 F5JC DGNF 2RCS F62B TKSA AJAH,1207085500000,90000
NQ08 SK4Y QATE V1PK K73P 3NU7 VHCR QEP3 DXD4,36222600000,2896
NQ08 TFEK YA5T CLMA CXBY CVEC US00 K3C0 DHRA,141928790398,5676
NQ09 06QV 3FA2 48TX CE4S ECMM G5PY B3X4 P2S0,36284627795,1444
NQ09 1V5M 2GCN PUEN M866 AAJ7 80BY PDA9 H864,13215400000,792
NQ09 3K0L 10UE 32V8 GSJA DXJV TJGS LA1M 1RV7,2907261957,112
NQ09 JC4H R4FQ 1UX9 YNPF CR9H NMXD YG4K SL5T,111409442626,8347.5
NQ09 KKUR 3N08 GEXS TD3C T7DV 5Y8X HJF6 QALX,3669221466,324
NQ09 KP6G VS6U 02LN 01RJ FFEY VUB0 DLNL R9XN,130300000,0
NQ09 MEYD 6CAN U8RN E1M7 28RF JVMX PX32 2TKL,282872217700,38374.5
NQ09 MNX3 5VRU 3JL3 TK1U ULRY 68S3 L1VK MRH5,103716357300,9333
NQ09 US62 XM15 S0CA UBC8 LV96 4515 2020 13UP,1000000000000,90000
NQ09 VS96 M3EU P9HX 5KC9 Y222 TVFD LNHJ UPLT,100000000000,9000
NQ09 X39V BJU0 CKS2 MACH LMYU 804S A70R JAX2,1087096355944,40000
NQ10 GD2H 0XA1 DDCQ L9UP UUHH P8NY H30S KM4S,10401900000,916
NQ10 L15Y JSMY FEMC XLVF LSK7 1XG1 KKJJ 66J7,999999000000,79992
NQ10 MCSX 21U6 4L00 X07G S8TY EJMQ 2DXH KDTP,1900300000,137
NQ10 NVTB MYXL J8CF 6F3M CGTP X6DV YNH4 K8QL,3153191580320,80000
NQ10 S64T 0J92 13QR LBXP X8LA 180C 5LHK 3ALC,32661765425,1304
NQ10 STGQ 5S67 T65G 18AT KPKG TC7G GVAJ 2KKU,23401556824,936
NQ10 TFCC 3MVY XT1S YC6S G4NU RQNK 7FV5 5MC5,12817088414,960
NQ11 03BM PY7E 9BX7 T7LA 0NHG P2NX LMFY G0BT,1000230000000,39992
NQ11 2DQH LRVB UD96 7T58 67SL BCSC K4E1 X5G4,1483424000,84
